Country,Continent,Library_Size,No_of_Tvshows,No_of_Movies
Argentina,South America,4760,3154,1606
Austria,Europe,5640,3779,1861
Bolivia,South America,4991,3155,1836
Bulgaria,Europe,6797,4819,1978
Chile,South America,4994,3156,1838
Colombia,South America,4991,3156,1835
Costa Rica,North America,4988,3152,1836
Croatia,Europe,2274,1675,599
Czechia,Europe,7325,5234,2091
Ecuador,South America,4992,3155,1837
Estonia,Europe,6456,4486,1970
France,Europe,5445,3604,1841
Germany,Europe,5668,3814,1854
Gibraltar,Europe,6167,4079,2088
Greece,Europe,4772,3344,1428
Guatemala,North America,4767,3154,1613
Honduras,North America,4989,3154,1835
Hong Kong,Asia,4746,2883,1863
Iceland,Europe,6387,4426,1961
India,Asia,5843,3718,2125
Israel,Asia,5713,3650,2063
Italy,Europe,5183,3545,1638
Japan,Asia,5475,3619,1856
Liechtenstein,Europe,3048,1712,1336
Malaysia,Asia,5952,3565,2387
Mexico,North America,4993,3158,1835
Moldova,Europe,3937,2473,1464
Monaco,Europe,5804,3806,1998
Norway,Europe,4528,2955,1573
Paraguay,South America,4797,3155,1642
Peru,South America,4986,3155,1831
Philippines,Asia,6362,4154,2208
Poland,Europe,5109,3512,1597
Romania,Europe,5303,3832,1471
Russia,Europe,5711,3624,2087
San Marino,Europe,2310,1937,373
Slovakia,Europe,7035,5055,1980
South Africa,Africa,5736,3686,2050
South Korea,Asia,5195,3334,1861
Taiwan,Asia,5105,3134,1971
Thailand,Asia,4948,2977,1971
Turkey,Europe,4639,2930,1709
Ukraine,Europe,5336,3261,2075
Uruguay,South America,4989,3154,1835
Venezuela,South America,4797,3154,1643
Belgium,Europe,4990,3374,1616
Singapore,Asia,6303,4109,2194
Finland,Europe,4045,2638,1407
Latvia,Europe,6450,4479,1971
New Zealand,Oceania,6084,4003,2081
Hungary,Europe,6884,4802,2082
Portugal,Europe,5047,3419,1628
Netherlands,Europe,5376,3779,1597
Sweden,Europe,4361,2973,1388
Canada,North America,6239,4311,1928
Lithuania,Europe,6462,4490,1972
Spain,europe,5229,3536,1693
United Kingdom,europe,6643,4551,2092
Indonesia,Asia,3887,2449,1438
Brazil,South America,4972,3162,1810
Ireland,Europe,6486,4515,1971
Switzerland,Europe,5506,3654,1852
Australia,Oceania,6114,4050,2064
Denmark,Europe,4558,2978,1580
United States,North America,5818,3826,1992
